Vehicle Make;Vehicle Model;Vehicle Description;Vehicle Price including VAT;Vehicle Kind;Vehicle CO2;Fuel Type;Maximum Weight
AU;Q073001B4A8DU7E;AUDI Q7             Busin 3,0 V6TDI 200kW quattro tiptronic ;7.545E+11;V;149;D;2765
FO;FIE15TI15M6DH7F;FORD FIESTA         1,5 TDCi 85hv M6 Titanium 5ov           ;1.809E+11;V;89;D;1680
ME;SPR300804M6DV7F;MERCEDES-BENZ SPRINT319CDI 4x4-3,55/43K pitk� A3            ;6.66E+11;U;0;D;3550
LR;DSP200005A9DU7G;LAND ROVER DISCOVERY2,0 TD4 150 HSE Luxury Aut              ;5.635E+11;V;139;D;2505
LR;DSP200005M6DU7G;LAND ROVER DISCOVERY2,0 TD4 150 HSE Luxury 5+2              ;5.531E+11;V;139;D;2660
BM;F22200002A0DE7G;BMW 2-SARJA         F23 Cabriolet 220d A                    ;4.084E+11;V;108;D;2025
VW;AMA30HIE4A0DP7F;VOLKSWAGEN AMAROK   DC High 3,0TDI 150kWAut 4MOT 2920kg     ;4.087E+11;V;211;D;2920
VW;GOF20COE4M6DH7F;VOLKSWAGEN GOLF     Comf 2,0TDI 110 kW                      ;2.477E+11;V;109;D;1890
VW;GOF2001C4M6DH7F;VOLKSWAGEN GOLF     Comf 2,0TDI 110 kW 4MOT                 ;2.619E+11;V;127;D;1970
M2;COU200305A0BU7G;MINI COUNTRYMAN     Cooper S ALL4 A Business                ;3.371E+11;V;146;B;0
M2;CAB150002M6BE7G;MINI CABRIO         Cooper                                  ;2.557E+11;V;114;B;1670
M2;CAB150002A6BE7G;MINI CABRIO         Cooper A                                ;2.735E+11;V;119;B;1695
M2;CLU200606A8DW7G;MINI CLUBMAN        Cooper SD ALL4 A                        ;3.24E+11;V;126;D;2055
FO;MOD200004P0BZ7A;FORD MONDEO         2,0 187hv eCVT Titanium Business HEV 4D ;3.41E+11;V;99;B;0
FO;MOD200104P0BZ7A;FORD MONDEO         2,0 187hv eCVT Titanium HEV 4D          ;3.336E+11;V;99;B;0
TO;HIL240004M6DP7F;TOYOTA HILUX        DoCab 2,4 D-4D 150 4WD Workhorse        ;3.22E+11;V;185;D;3210
